fHI	fHeI	fHeII	z	T(K)
0.9999	0.9999	0.001	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
734.915	0.392395	0.123676	0.483968	27.0842	19.1451	1.13991	0.00030004	0.116536
749.614	0.393241	0.124262	0.482536	27.5305	19.5681	1.16631	0.00030003	0.11647
764.606	0.393211	0.123944	0.482884	28.0971	19.9616	1.18802	0.00010003	0.116404
779.898	0.392833	0.123811	0.483394	28.715	20.3199	1.22242	0.00010001	0.116339
795.496	0.393675	0.123577	0.482787	29.2119	20.7571	1.25682	0.00020001	0.116276
811.406	0.392526	0.123213	0.4843	29.921	21.1247	1.27083	2.0001e-08	0.116213
827.634	0.392206	0.123423	0.484409	30.5167	21.557	1.28003	2.0001e-12	0.116151
844.187	0.393148	0.123555	0.483335	31.0877	22.0311	1.31403	0.0001	0.11609
861.07	0.392479	0.122988	0.484572	31.7537	22.4321	1.33853	0.00020001	0.116029
878.292	0.392412	0.122951	0.484675	32.3549	22.8725	1.36703	0.00040002	0.11597
895.858	0.393189	0.12267	0.48418	33.0126	23.3183	1.43004	4.0002e-08	0.115911
913.775	0.393325	0.123063	0.483651	33.6508	23.8219	1.44264	0.0002	0.115853
932.05	0.393653	0.123143	0.483243	34.3452	24.3204	1.47154	0.00030002	0.115796
950.691	0.393696	0.122825	0.483517	35.0226	24.8017	1.50525	0.00040003	0.11574
969.705	0.393069	0.122625	0.484344	35.787	25.2469	1.53945	0.00010004	0.115684
989.099	0.392899	0.12251	0.48463	36.5314	25.7377	1.57095	0.00020001	0.11563
1008.88	0.392998	0.122784	0.484256	37.2909	26.2422	1.61216	0.00020002	0.115576
1109.77	0.393257	0.121851	0.484927	41.0952	28.824	1.80876	0.00010002	0.115326
1220.75	0.3927	0.121439	0.485897	45.2905	31.6567	1.98928	0.00020001	0.115092
1342.82	0.392834	0.121168	0.486034	49.8615	34.847	2.1824	2.0001e-08	0.114874
1477.1	0.39311	0.120755	0.486171	54.8775	38.2573	2.45792	0.0002	0.11467
1624.81	0.39259	0.120412	0.487034	60.5275	41.9382	2.74905	0.00040002	0.114478
1787.29	0.391846	0.119852	0.488338	66.7939	45.9845	3.05197	0.00020004	0.114299
1966.02	0.392092	0.119695	0.488249	73.5216	50.6406	3.34371	0.00080002	0.114132
2162.63	0.392048	0.11968	0.488307	80.9491	55.5836	3.74203	0.00050008	0.113976
2378.89	0.39172	0.118985	0.48933	89.2459	61.0878	4.11407	0.00070005	0.113829
2616.78	0.391335	0.11893	0.489771	98.205	67.0158	4.58351	0.00120007	0.113692
